phrasal_verb,example,predicted_meaning
drag on,It dragged on over two years.,to continue for longer than you want or think is necessary
drag on,It got worse as the months dragged on.,to continue for longer than you want or think is necessary
drag on,It's going to drag on.,to continue for longer than you want or think is necessary
drag on,Some cases drag on for years.,to continue for longer than you want or think is necessary
drag on,"Such negotiations typically drag on for years, if not decades.",to continue for longer than you want or think is necessary
drag on,The case dragged on for three years before the clubs reached an agreement.,to continue for longer than you want or think is necessary
drag on,"The club say they will appeal, a process which could drag on until August.",to continue for longer than you want or think is necessary
drag on,The company had to ask its lenders to delay covenant tests twice as talks dragged on for nine months.,to continue for longer than you want or think is necessary
drag on,The economic problems of the eurozone will drag on for years.,to continue for longer than you want or think is necessary
drag on,The fighting dragged on for two months.,to continue for longer than you want or think is necessary
drag on,The impeachment process would then drag on into the Olympics.,to continue for longer than you want or think is necessary
drag on,The talks had dragged on for 14 years.,to continue for longer than you want or think is necessary
drag on,The trial is expected to drag on for months.,to continue for longer than you want or think is necessary
drag on,Things like this have been known to drag on for months at a time.,to continue for longer than you want or think is necessary
drag on,This has been dragging on for months now.,to continue for longer than you want or think is necessary
drag on,This has dragged on for months.,to continue for longer than you want or think is necessary
drag out,Let’s not drag this meeting out any more than we have already.,to make something continue for longer than necessary
drag out of,"He only told me her name, and I had to drag that out of him.",to force or persuade someone to tell you something when they do not want to
drag up,"But each step was a hauling operation; winch up her foot, drag up her body.","to start talking about something when it is not necessary, usually something unpleasant that happened in the past and that other people want to forget"
drag up,He glanced Bagado's way and looked as if he'd spit if he could be bothered to drag up the phlegm.,"to start talking about something when it is not necessary, usually something unpleasant that happened in the past and that other people want to forget"
drag up,Must you drag up that old argument?,"to start talking about something when it is not necessary, usually something unpleasant that happened in the past and that other people want to forget"
drag up,"There's no need to drag up all that old --- ' `No, I can't say I miss it.","to start talking about something when it is not necessary, usually something unpleasant that happened in the past and that other people want to forget"
draw away,Ann suddenly drew away from me.,to move away from a person or place
draw away,People started waving as the train drew away.,to move away from a person or place
draw back,She drew back in horror.,to move away from someone
draw back,They heard the sound of a bolt being drawn back.,to pull something such as a curtain into an open position
draw down,Some firms have dealt with the problem by drawing down their cash reserves.,to reduce an amount of money by using it
draw in,"A symbol, like the symbols for numbers we used to draw in the snow.",to arrive in a place
draw in,"I heard her draw in her breath, then she said, `I feel so lost.",to take something such as air into your body
draw in,She drew the smoke deep into her lungs.,to arrive in a place
draw in,The breath caught in her chest and her mouth opened to draw in the air.,to take something such as air into your body
draw in,The train drew into the station.,to arrive in a place
draw in,We do not want to get drawn into a long and expensive conflict.,to arrive in a place
draw into,She drew the smoke deep into her lungs.,to arrive in a place
draw into,The train drew into the station.,to arrive in a place
draw into,We do not want to get drawn into a long and expensive conflict.,to arrive in a place
draw off,A grave peril I saw coming unlooked-for upon Gondor from the South that will draw off great strength from the defence of Minas Tirith.,to take some of the liquid out of something
draw off,"Then, breasting a hill, Jeanne saw ahead what promised to be an ideal place to draw off the road and eat.",to take some of the liquid out of something
draw on,"As an actor, you often draw on your own life experiences.",to use something that you have gradually gained or saved
draw on,At Everton in October he drew on his own experiences to give a powerful talk to scholars.,to breathe in smoke from a cigarette
draw on,"Barclays, which has also drawn on government funding and guarantees, is doing the same.",to use something that you have gradually gained or saved
draw on,"But I hope we can work in partnership, and draw on the skills of both sectors.",to breathe in smoke from a cigarette
draw on,Councils will be able to draw on new funds of 40 million over three years to pay for it.,to breathe in smoke from a cigarette
draw on,Did you draw on experience?,to breathe in smoke from a cigarette
draw on,Drawing on a board makes more work for other people as they have to transfer it onto a computer.,to breathe in smoke from a cigarette
draw on,"Each country interacts with the other as it draws on technical skills, experience and training from all parts of the world.",to breathe in smoke from a cigarette
draw on,"For spending money, I have been getting a bank draft drawn on my account and made payable to our daughter.",to breathe in smoke from a cigarette
draw on,He does not have the same store of experience to draw on when times get tough.,to breathe in smoke from a cigarette
draw on,He paid with a cheque drawn on his company’s account.,to breathe in smoke from a cigarette
draw on,"In this era of change, it makes sense to draw on the best expertise available.",to use something that you have gradually gained or saved
draw on,It draws on his time as a supply teacher in an undistinguished prep school in north Wales.,to breathe in smoke from a cigarette
draw on,"It's something he wants to do his own bit to change, drawing on his experience of straddling two cultures.",to breathe in smoke from a cigarette
draw on,"Last week the group met to sign off on the structure of the bid, which will draw on funds from wealthy individuals and rank-and-file fans.",to breathe in smoke from a cigarette
draw on,Like most of his work Heart of Darkness draws on his own experience as a seaman.,to breathe in smoke from a cigarette
draw on,Older employees can draw on many life skills.,to breathe in smoke from a cigarette
draw on,Power from busy periods are stored in a battery to be drawn on in quieter times.,to breathe in smoke from a cigarette
draw on,She shook her head as she drew on her cigarette.,to breathe in smoke from a cigarette
draw on,"She went into the branch and asked for a 4,000 cheque to be drawn on her savings account.",to take money from a bank account by writing a cheque
draw on,The brothers have been able to draw on the experience of two luxury heavyweights.,to breathe in smoke from a cigarette
draw on,"There is no need to draw on all their funds, and they can still top up their funds and make contributions.",to use something that you have gradually gained or saved
draw on,There was a direct link between paying in during the good times and drawing on the pool of collective resources in bad times.,to breathe in smoke from a cigarette
draw on,This book draws on practical experience as a consultant to businesses of all kinds and sizes for a good many years.,to breathe in smoke from a cigarette
draw on,This would provide a buffer to draw on if times get tough.,to breathe in smoke from a cigarette
draw on,Time to draw on age and experience.,to breathe in smoke from a cigarette
draw on,You get the sense he also saw an opportunity to draw on personal experience.,to breathe in smoke from a cigarette
draw on,Your body draws on its reserves of fat during the times when you are fasting.,to use something that you have gradually gained or saved
draw out,Depositors drew so much money out of the bank that it was forced to close down.,to move out of a place
draw out,"He often attempted to draw out Jock on the subject, but without success.",to make something continue longer than usual
draw out,It wasn’t easy to draw him out.,to take out
draw out,"Maybe more than one... Desperately, Sam tried to reach the Charter to draw out the marks needed for a magical attack.",to take out
draw out,People with southern accents tend to draw out their vowels.,to withdraw (money from a bank account)
draw out,"Perhaps He moved her to the other side of the room, began to draw out mounted canvases from their racks.",to make something continue longer than usual
draw out,Slowly the train drew out of the station.,to make something continue longer than usual
draw out,Suddenly he drew out a gun.,to take out
draw out,That might be part of what was wrong with the kids you tried to draw out on the reservation.,to take out
draw out,The incident at the staff meeting drew out the worst in the staff members.,to take out
draw out,This action could draw the dispute out for another six months.,to make something continue longer than usual
draw up,A taxi drew up outside the hotel.,"if a vehicle draws up, it arrives at a place and stops"
draw up,Guidelines have been drawn up for dealing with emergencies.,to move your chair so that you are sitting closer to someone or something
draw up,Health chiefs are drawing up plans to increase them.,"if a vehicle draws up, it arrives at a place and stops"
draw up,"Once that hurdle has been cleared, detailed designs will be drawn up for approval.","if a vehicle draws up, it arrives at a place and stops"
draw up,The security regime is detailed in a set of regulations that was drawn up in 2002.,"if a vehicle draws up, it arrives at a place and stops"
draw up,Together they began drawing up plans for their first home.,to move your chair so that you are sitting closer to someone or something
draw upon,She would have to draw upon all her courage and determination.,same as draw on
dream away,She just dreams her life away sitting at home.,to spend your time thinking pleasant thoughts but not really achieving anything
dream up,A history of the world told through six different drinks sounds dangerously like an idea dreamt up in the pub after six different drinks.,"to think of a new idea or plan, especially one that is silly or unusual"
dream up,"Before the end, the leaders dreamed up more and more fantastical punishments for those who exhibited doubts.","to think of a new idea or plan, especially one that is silly or unusual"
dream up,He was continually dreaming up schemes to expand his business.,"to think of a new idea or plan, especially one that is silly or unusual"
dream up,It was dreamt up in London by people in offices and big houses.,"to think of a new idea or plan, especially one that is silly or unusual"
dream up,It's fine for a boxer to dream up a name for himself.,"to think of a new idea or plan, especially one that is silly or unusual"
dream up,Not sure if he'll find a new project dreamt up by his old writing partner as funny.,"to think of a new idea or plan, especially one that is silly or unusual"
dream up,Tell yourself there's no reason for you to dream up such scenarios.,"to think of a new idea or plan, especially one that is silly or unusual"
dream up,What kind of art did she have in mind when she dreamt up her plan?,"to think of a new idea or plan, especially one that is silly or unusual"
dredge up,Clutching the edge of the table I tried to dredge up a manner which could pass for normal.,to tell people about something that someone did in the past that they would prefer to keep secret
dredge up,Details of his previous affairs were dredged up by the media.,to tell people about something that someone did in the past that they would prefer to keep secret
dredge up,"`Greens were going to fight the Survivors,"" he managed to dredge up from a memory not merely foggy but virtually opaque.",to tell people about something that someone did in the past that they would prefer to keep secret
dredge up,`I'm not looking to dredge up a list of past boy friends.,to tell people about something that someone did in the past that they would prefer to keep secret
dress down,"After all, dressing down successfully takes as much skill as dressing up.",to speak in an angry way to someone who has done something wrong
dress down,Anyone caught not wearing a seatbelt in a car or a taxi can expect a dressing down from the chairman himself.,to speak in an angry way to someone who has done something wrong
dress down,"Dresses are a great option for holidays and are easy to glam up or dress down, depending on whether you're hitting the pool or going for cocktails.",to wear clothes that are more informal than the clothes that you usually wear
dress down,GOOD on teachers for dressing down parents who turn up in school wearing pyjamas.,to wear clothes that are more informal than the clothes that you usually wear
dress down,The controversial centreback has already received at least one dressing down from his manager for overdoing the theatrics this season.,to speak in an angry way to someone who has done something wrong
dress up,All children love dressing up.,to put on clothes that are more formal than the clothes you usually wear
dress up,"And I told her, because when you dress up, and make up, and act, you're somebody else.","to put on clothes that make you look like someone else, for fun"
dress up,"For her birthday party, they had dressed her up as a fairy.",to make something seem more impressive than it really is
dress up,"He tries to dress it up, but he’s basically a waiter.",to make something seem more impressive than it really is
dress up,I had them dress up like those pictures in one of her books.,to make something seem more impressive than it really is
dress up,Jonah had obviously made an effort to dress up for the occasion.,to make something seem more impressive than it really is
dress up,"She held the dress up for their inspection, giving it a shake to loosen the folds of the fabric.",to make something seem more impressive than it really is
dress up,They had dressed up as princes and princesses.,to make something seem more impressive than it really is
dress up,`I don't know why I even bother to dress up in all these gorgeous clothes you buy for me.,"to put on clothes that make you look like someone else, for fun"
drift off,"Halfway through a sentence, your mind is drifting off.",to start to sleep
drift off,I was just drifting off when the door slammed.,to start to sleep
drift off,I would often drift off to sleep there with them.,to start to sleep
drift off,It isn't a case of having an early night or reading a book in bed to drift off.,to start to sleep
drift off,"It meant she would easily drift off in lessons, much to the exasperation of her teachers.",to start to sleep
drift off,Pop this calming eye mask on and you'll drift off in minutes.,to start to sleep
drift off,This will help you relax and encourage you to drift off.,to start to sleep
drift off,Try making this soothing herbal concoction to help you drift off: Take around four handfuls of dried hop flowers and four handfuls of dried lavender flowers.,to start to sleep
drill into,If you do something you should never do it half-heartedly. My parents drilled that into us when we were young.,to make someone learn or understand something by telling them about it many times
drink down,She made a face but drank the medicine down.,"to drink all of something, especially quickly"
drink in,Sit out on the terrace and drink in the stunning view.,to experience something with great enjoyment
drink in,They might know nothing about riding beasts; but they knew by now how to eat and drink in the desert.,to experience something with great enjoyment
drink to,I hope you will drink to our good journey.,"used for saying that you strongly agree with what someone has said, or strongly hope that it is true"
drink to,We will now drink a toast to the bride and groom.,"used for saying that you strongly agree with what someone has said, or strongly hope that it is true"
drink to,‘By summer this war should be over’. ‘I’ll drink to that!’,"used for saying that you strongly agree with what someone has said, or strongly hope that it is true"
drink up,"Drink up, everyone, it’s time to go.",to drink all of your drink
drink up,I gave the cat some milk and she drank it all up.,to drink all of your drink
drive at,I can see what you’re driving at.,what someone is really trying to say
drive away,Being constantly on the attack can drive away the very people who need to be reached with the gospel.,to make someone stop wanting something or stop wanting to be with someone
drive away,"Girls begin to approach them, and are soon driven away in cars by the older men.",to make someone stop wanting something or stop wanting to be with someone
drive away,He says the new tax'will drive away the people making donations by making it prohibitive for us to spend money here '.,to make someone stop wanting something or stop wanting to be with someone
drive away,Increasing prices will only drive customers away.,to make someone stop wanting something or stop wanting to be with someone
drive away,Promise We will not be driven away by such people.,to make someone stop wanting something or stop wanting to be with someone
drive away,They left by a back door and were driven away in a people carrier about noon yesterday.,to make someone stop wanting something or stop wanting to be with someone
drive down,Fierce competition among restaurants has driven down prices.,to make a price or amount fall to a lower level
drive off,My father just drove off as if he was going down to the village shop.,"to force someone to go away, especially when they are attacking or threatening you"
drive off,The answer was that he drove off with the fuel pump attached.,"to force someone to go away, especially when they are attacking or threatening you"
drive off,The killer then drove off in his car.,"to force someone to go away, especially when they are attacking or threatening you"
drive off,They fired their guns to drive off an attack from a pack of dogs.,"to force someone to go away, especially when they are attacking or threatening you"
drive off,They jumped into the car and drove off in a hurry.,"to force someone to go away, especially when they are attacking or threatening you"
drive off,They stood and waved as we drove off.,"to force someone to go away, especially when they are attacking or threatening you"
drive off,We didn't really see his car drive off.,"to force someone to go away, especially when they are attacking or threatening you"
drive out,Government forces have driven the rebels out of the eastern district.,to force someone or something to leave a place
drive up,A huge Rolls Royce drove up.,to make a price or amount rise to a higher level
drive up,The government’s policies are driving up interest rates.,to make a price or amount rise to a higher level
drop away,"A cliff rose on her right side, ground dropped away on the left.",same as drop
drop away,"As we round the first rock face and the ground drops away to the pass far below, adrenalin surges into my veins.",same as drop
drop away,At last the ground dropped away and we flew over a blur of Gulf.,same as drop
drop away,Support for him has begun to drop away.,same as drop
drop away,The land drops steeply away into a small valley.,same as drop
drop away,"Then, without warning, the ground drops away and your jaw drops with it.",same as drop
drop away,Those at the very bottom price points will drop away.,same as drop
drop back,Alex dropped back to let me pass.,same as drop
drop back,Economic growth will drop back to 3% this year.,same as drop
drop back,He dropped back and finished in sixth place.,to move into a lower position in a race or competition
drop behind,Jensen has dropped behind into last place.,same as drop back
drop behind,Mary dropped behind to walk with Sam.,same as drop back
drop by,Why don’t you drop by for coffee some time?,to make a short visit somewhere
drop in,"Make a well in the center of the flour and drop in the egg, milk and oil.",to make a short visit somewhere
drop in,"Maybe she'd drop in on Annie Cabbot, the only decent copper among them.",to make a short visit somewhere
drop in,My next unedifying conclusion was that in order to make this informality credible I had to drop in without warning at the Deanery.,to make a short visit somewhere
drop in,She finally got a job through volunteering at a drop-in centre for young mothers.,to make a short visit somewhere
drop in,"The coffin was lowered into the hole, and with her sister and brother she stepped forward to drop in a handful of earth.",to make a short visit somewhere
drop in,The property has been used as a drop-in centre for a charity and will need to be converted back to residential use.,to make a short visit somewhere
drop in,The resort also has bookable crèche facilities and drop-in kids clubs.,to make a short visit somewhere
drop in,"They provide advice and support, organise trips and courses and run youth drop-in centres.",to make a short visit somewhere
drop in,Why don’t you drop by for coffee some time?,to make a short visit somewhere
drop off,And as she kept up her new healthy lifestyle the weight just kept on dropping off.,same as drop away
drop off,Can you drop the kids off at school this morning?,to start to sleep
drop off,Desmond got out of the Pontiac and directed her to drive the Lincoln right up to the edge of the drop-off.,to start to sleep
drop off,He usually drops off in front of the telly.,to start to sleep
drop off,Her popularity has dropped off recently.,same as drop away
drop off,Is it ok if I drop the documents off later?,to start to sleep
drop off,"School drop-off and pickup, the ultimate N American experience.",to start to sleep
drop off,"She got no drop-off in membership moving the group to the house, and being under siege brought out the best in them.",same as drop away
drop off,"`Well,' I said, unable to resist the cheap shot, `that would explain the drop-off in your sexual performance, I suppose.",to start to sleep
drop out,He decided to drop out and spend his life travelling.,to decide not to have an ordinary job or life because you do not want to be part of society
drop out,"His father and grandfather were hit hard, and Dad had to drop out of school.",to decide not to have an ordinary job or life because you do not want to be part of society
drop out,She was injured in the first round and had to drop out.,to decide not to have an ordinary job or life because you do not want to be part of society
drop out,Too many students drop out of college after only one year.,to decide not to have an ordinary job or life because you do not want to be part of society
drop round,I thought I’d drop round to see how you are.,same as drop
drug up,Doctors can’t just drug people up for their own convenience.,to give someone a lot of drugs or medicine with the result that they cannot behave normally
drum into,"Despite her cruelty, she drummed into me that a child had to respect its parents.",to make someone learn or understand something by repeating it many times
drum into,"Education is something he will always give advice about, and the importance of it is something he has drummed into all of us.",to make someone learn or understand something by repeating it many times
drum into,Is that something that was drummed into you?,to make someone learn or understand something by repeating it many times
drum into,Is this a work ethic that has been drummed into you from an early age?,to make someone learn or understand something by repeating it many times
drum into,Maybe it has been drummed into your head that you must not ask for things but wait until they are given to you.,to make someone learn or understand something by repeating it many times
drum into,My Quaker grandmother had a maxim that was drummed into me: business before pleasure.,to make someone learn or understand something by repeating it many times
drum into,Safety is drummed into you from the very beginning of flying training.,to make someone learn or understand something by repeating it many times
drum into,That message has been drummed into the squad from on high.,to make someone learn or understand something by repeating it many times
drum out,"Right, now tip it forward and I'll manoeuvre the drum out of the car.",to force someone to leave an organization because they have done something bad
drum up,Advertisements should help to drum up some business.,to try to make people support you or buy something from you
drum up,"I had to pull myself together, show no sign of weakness, drum up some aggression to protect myself.",to try to make people support you or buy something from you
drum up,She decides she will drum up the courage to look at the paintings of the Master's demons and unnatural figures.,to try to make people support you or buy something from you
drum up,"Then I wondered whether it was time to drum up the energy to drive to Starrington but no, now I had to wait for Michael to telephone.",to try to make people support you or buy something from you
drum up,We should probably see what sort of a deal we can drum up with one of the mags.,to try to make people support you or buy something from you
dry off,He got out of the shower and dried himself off.,"if something dries off, or if you dry it off, all the water dries or is wiped from its surface"
dry off,Wash the salad and leave it to dry off.,"if something dries off, or if you dry it off, all the water dries or is wiped from its surface"
dry out,"It was no longer enough for someone to dry out, they had to be seen to have dried out.","to give up drinking alcohol, or to help someone do this, especially by getting medical treatment"
dry out,"Until they got to England, it looked like he was going to have to dry out, a truly nauseating prospect.","to give up drinking alcohol, or to help someone do this, especially by getting medical treatment"
dry out,Water the ground regularly to stop it from drying out.,"if something dries out or is dried out, some or all the water comes out of it"
dry out,We'll never get through all that before it starts to dry out.,"to give up drinking alcohol, or to help someone do this, especially by getting medical treatment"
dry out,"`I say let's go hack to the cabin, dry out, have a cup of coffee, and regroup.","to give up drinking alcohol, or to help someone do this, especially by getting medical treatment"
dry up,Output of the hormone dries up completely in sufferers and they have to inject it themselves two or three times a day.,to stop talking because you do not know what to say
dry up,Sympathy has not completely dried up for the detainees.,to stop talking because you do not know what to say
dry up,The flood of unsolicited credit cards arriving through the post dried up and banks grew less liberal with credit limits.,to stop talking because you do not know what to say
dry up,The land had dried up and no crops would grow.,to stop being available
dry up,Then mortgages dried up and house prices plummeted.,to stop talking because you do not know what to say
dry up,What will happen to the project when the money dries up?,to stop talking because you do not know what to say
dub in,The sound of the train was dubbed in afterwards.,"to change part of the original sound of a recording, especially a film, by adding new sound to it"
dub out,They dubbed the background noise out.,"to remove part of the original sound from a recording, especially a film"
dub over,They dubbed over the American dialogue and replaced it with Russian.,"to replace the original soundtrack of a film with one in a different language, so that the actors seem to be speaking the other language"
duck out,But we might have found the reason that he ducked out of the referendum campaign: he was tending his allotment.,"to leave a place, especially in a way that is not noticed by other people"
duck out,It is time he ducked out of the limelight a little and let his rugby do his talking.,"to leave a place, especially in a way that is not noticed by other people"
duck out,She ducked out for a smoke.,"to leave a place, especially in a way that is not noticed by other people"
duck out,Yes it's wrong for dads to duck out of paying for their kids.,"to leave a place, especially in a way that is not noticed by other people"
duck out,You would have thought that a certain event at The Emirates three days earlier was a lesson for those who duck out early.,"to leave a place, especially in a way that is not noticed by other people"
duff up,"She was trying to cool it and reason with her black friends, but they shoved her aside and shaped up like they were going to duff up the Dl.",to hurt someone by hitting or kicking them many times
dust down,"She came in from the snow, dusting down her jacket.",to wipe dust or dirt off the surface of something
dust down,You have to learn to just dust down yourself and try again.,to wipe dust or dirt off the surface of something
dust off,Dust off your dancing shoes as we have the competition for you.,to get something ready to use that you have not used for a long time
dust off,It's the season to dust off the cobwebs in your company.,to get something ready to use that you have not used for a long time
dust off,I’m dusting off my old skills and returning to work.,to wipe dust or dirt off the surface of something
dust off,Prepare to dust off your old jokes.,to get something ready to use that you have not used for a long time
dust off,The show follows various celebrities as they dust off musical instruments they played in their youth.,to wipe dust or dirt off the surface of something
dust off,Would you dust off the shelves?,to wipe dust or dirt off the surface of something
dwell on,He tends to dwell on the negative aspects of his performance.,to spend a lot of time thinking or talking about something unpleasant
dwell upon,He tends to dwell on the negative aspects of his performance.,to spend a lot of time thinking or talking about something unpleasant
ease off,Ease off a bit as you go round the bend.,"to go more slowly, especially when you are driving or running fast"
ease off,"If she doesn’t ease off at work, she’ll make herself ill.","if something unpleasant or annoying eases off, it becomes less unpleasant or annoying"
ease off,"If the rain eases off overnight, we’ll leave in the morning.","if something unpleasant or annoying eases off, it becomes less unpleasant or annoying"
ease off,The pain should ease off after a couple of hours.,"if something unpleasant or annoying eases off, it becomes less unpleasant or annoying"
ease out,Senior party sources say Liddell will be eased out during the next few weeks.,to make someone leave a job or position without saying anything publicly
ease up,Government forces appear to be easing up on the rebels.,to become less severe towards someone
ease up,Judges have been advised to ease up on jail sentences.,to become less severe towards someone
ease up,Our daughter arrived and he has eased up on the partying.,same as ease off
ease up,The government's drive for austerity has in fact eased up in the past two years.,same as ease off
ease up,They waited nearly four hours for the storm to ease up.,same as ease off
eat away,"After nearly three years of exhaustion and emotional numbness, I decide to confront the thing eating away at me and the family.",to gradually destroy something
eat away,That sort of thing eats away at your belief.,to gradually destroy something
eat away,Within a few years inflation had eaten away all the economic gains.,to gradually destroy something
eat away at,You could see that jealousy was eating away at her.,to make someone feel more and more unhappy or worried
eat into,"The river had eaten into the bank, and part of it had collapsed.",same as eat away
eat out,People are spending more on eating out.,to have a meal in a restaurant instead of at home
eat up,"Come on, eat up your broccoli.",to use large amounts of your available time or money
eat up,"Eat up, and we’ll go for a walk.",to use large amounts of your available time or money
eat up,Having children eats up a lot of a family’s income.,to feel a negative emotion so strongly that it is difficult to think about anything else
eat up,Paula was eaten up by guilt for days.,to use large amounts of your available time or money
eat up,"The press argued over the book, and the public was eating it up.",to use large amounts of your available time or money
eat up,"There was no question of anyone having to force her to eat up her meals, because they were always delicious.",to use large amounts of your available time or money
eat up,"They drove on, eating up the distance between themselves and home.",to use large amounts of your available time or money
eat up,"They eat up the world, and every generation of makers grows more adept, and more clever at what it does.",to like something so much that you want to hear or see more
eat up,Within a week or two of my going back she'll be telling me to eat up my nice greens.,to use large amounts of your available time or money
eat up,"You can have some more tomorrow, if you're a good boy and eat up all your dinner.",to use large amounts of your available time or money
edge out,Eileen Petersen edged out Victor Frazer by 27 votes.,to beat someone in something such as a competition or election by a small amount
edit out,"""Well, you'd better edit out the parts that show Mia's face.","to remove parts of a film, television, or radio programme that are not wanted before it is shown or broadcast"
egg on,He’d never have stolen it if she hadn’t egged him on.,to encourage someone to do something that they should not do
eke out,"Gwen John lived in utter poverty in France, modelling for a few coppers to eke out, and she had a great affair with Rodin.",to get just enough money or food to be able to continue to exist
eke out,"She had spat out her labia and now attempted to call them by name, to eke out a little mercy.",to get just enough money or food to be able to continue to exist
eke out,"She knew how painful it was, and how to eke out the torture.",to get just enough money or food to be able to continue to exist
eke out,The family barely manages to eke out a living from their small farm.,to get just enough money or food to be able to continue to exist
eke out,Their meagre supplies have to be eked out throughout the winter.,to get just enough money or food to be able to continue to exist
eke out,There were still real people trying to eke out their lives here.,to get just enough money or food to be able to continue to exist
embark on,"After leaving college, Lucy embarked on an acting career.",to start a journey by ship
embark on,The new government embarked upon an energetic legislative programme.,to start a journey by ship
embark on,We embarked on a voyage to the Caribbean.,to start a journey by ship
embark upon,"After leaving college, Lucy embarked on an acting career.",to start a journey by ship
embark upon,The new government embarked upon an energetic legislative programme.,to start a journey by ship
embark upon,We embarked on a voyage to the Caribbean.,to start a journey by ship
empty out,All the pubs empty out at the same time.,same as empty
empty out,He emptied his clothes out of the drawers.,same as empty
empty out,He was told to empty out his desk and leave.,same as empty
empty out,She lifted the bag and emptied the contents out onto the bed.,same as empty
end in,But in the end my baby 's body swelled and he went into heart failure and succumbed.,to have something as a final result
end in,His attempt to persuade the boy ended in failure.,to have something as a final result
end in,In the end a final verdict is difficult.,to have something as a final result
end in,"In the end, the final sale price exceeded the expectations of most people in the City.",to have something as a final result
end in,Ireland had won a free kick in a dangerous position on the left but it would turn out to be to Belgium 's benefit in the end.,to have something as a final result
end in,The game ended in a draw.,to have something as a final result
end up,I ended up spending the night in the airport.,to be in a particular place or state after doing something or because of doing it
end up,It could end up costing her a small fortune in the long run.,to be in a particular place or state after doing something or because of doing it
end up,Keep on doing that and you’ll end up in serious trouble.,to be in a particular place or state after doing something or because of doing it
end up,She wouldn't have been the first one to end up on the arm of a criminal.,to be in a particular place or state after doing something or because of doing it
end up,Somehow they all ended up at my house.,to be in a particular place or state after doing something or because of doing it
end up,"You might end up in a bog with your head through the windscreen, more's the pity.",to be in a particular place or state after doing something or because of doing it
end with,The festival ended with fireworks.,to have something as the final part
end with,Why did you end your essay with a quotation from Shakespeare?,to have something as the final part
endow with,She is endowed with both brains and beauty.,to have something such as a good ability or quality
endow with,The General’s supporters endow him with an almost godlike status.,to have something such as a good ability or quality
engage in,He has engaged in a dispute with his former business partner.,to start having a conversation with someone
engage with,She is accused of failing to engage with the problems of her staff.,to start to fight an enemy in battle
enlarge on,He refused to enlarge upon his reasons for leaving his job.,to give more information about something that you have already mentioned
enter into,"A trillion grains or two might survive again, only to enter into yet another geological cycle.",to be an important aspect of a situation
enter into,All who vote will also be entered into the prize draw to win the caravan.,to be an important aspect of a situation
enter into,Borrowers must be clear about the agreement they are entering into.,to be an important aspect of a situation
enter into,"Boxing was something he entered into, acutely aware of its perilous nature.",to be an important aspect of a situation
enter into,But there still needs to be a system for those who do not enter into such agreements.,to be an important aspect of a situation
enter into,But we must be prepared to enter into people 's pain without ready answers.,to be an important aspect of a situation
enter into,"Buyers can earn a return on their investment in the months that they are not visiting, with the apartments automatically entered into the resort 's rental pool.",to be an important aspect of a situation
enter into,Each party had a perfect right to enter into the agreement.,to be an important aspect of a situation
enter into,He also admitted entering into a number of commercial arrangements to exploit the footage.,to be an important aspect of a situation
enter into,"In 1986, the organization entered into an agreement with a private firm to operate the security system.",to be an important aspect of a situation
enter into,In such families one parent (most commonly the mother ) enters into powerful coalitions with one or all of the children.,to be an important aspect of a situation
enter into,So it's not something to be entered into lightly.,to be an important aspect of a situation
enter into,Take the time to be single and sure before entering into another relationship.,"to behave in the enthusiastic way that people expect in a particular situation, for example in a game or at a party"
enter into,The firm is also accused of entering into arrangements for claims to be referred that were'a sham' and improper.,to be an important aspect of a situation
enter into,The government had entered into a genuine dialogue with the terrorists.,to be an important aspect of a situation
enter into,The picture will also be entered into our monthly competition for a chance to win a holiday to Mexico with Thomson.,to be an important aspect of a situation
enter into,They entered into their swap agreements with sufficient understanding to exercise their own judgment as to whether the products would meet their objectives.,to be an important aspect of a situation
enter into,"When companies are trying to save money, loyalty to workers doesn’t enter into it.",to be an important aspect of a situation
enter into,Why might a company want to enter into an agreement with a preferred provider organization?,to be an important aspect of a situation
enter into,You will also be entered into a monthly prize draw for the chance to win an iPad.,to be an important aspect of a situation
enter into,You'll also be entered into their competition to win a family trip to Florida.,to be an important aspect of a situation
enter into,Your team will be entered into that country 's league giving you an extra chance to win a prize at no extra cost.,to be an important aspect of a situation
enter into,Your team will be entered into that country 's league giving you an extra chance to win.,to be an important aspect of a situation
even out,"If any of you tried to approach this point, Multivac might rouse himself even out of his present distraction.","if things even out, or if you even them out, they show fewer or smaller changes or differences"
even out,"On a clear day you could see the house from far away, even out to sea.","if things even out, or if you even them out, they show fewer or smaller changes or differences"
even out,She wasn't even out of the room before James saw the folded paper by the chocolate box.,"if things even out, or if you even them out, they show fewer or smaller changes or differences"
even out,The company saw overseas growth as a way to even out swings in the UK market.,"if things even out, or if you even them out, they show fewer or smaller changes or differences"
even out,We would like to be able to even out the workload more fairly.,"if things even out, or if you even them out, they show fewer or smaller changes or differences"
even up,"A second player was sent off, from the other team this time, which did even things up a bit.",to make something fairer or more equal
even up,"Lee, the truth of the matter is you're simply too young to let two or three years, even up here, wreck your life.",to make something fairer or more equal
even up,"Nick's eyes were streaming, his skin was scorching, even up here it was so hot he could faint.",to make something fairer or more equal
even up,"`But I'm afraid of being overheard, no matter where we go in the dun, even up here.",to make something fairer or more equal
explain away,"And when the courageous stands you do take are explained away as the result of parental pressure, there's scant incentive to remain upright.","to tell someone about something in a way that makes them think it is unimportant, so that they do not ask questions about it"
